sample_name,fazenda,date,planta,tratamento,parcela,ramo,no,s1,s2,s3,s4,s5,s6,flor,star,chumb,fruto,rv
ffelipe_p1_t5_parc11_rDir_n2,felipe,2025-09-22,1,t5,11,Dir,2,1,1,1,0,0,3,0,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n2,felipe,2025-09-22,2,t5,11,Dir,2,0,0,0,0,0,0,22,0,0,0,0
ffelipe_p3_t5_parc11_rDir_n2,felipe,2025-09-22,3,t5,11,Dir,2,0,0,0,0,0,0,22,0,0,0,0
ffelipe_p1_t5_parc11_rDir_n3,felipe,2025-09-22,1,t5,11,Dir,3,0,0,1,0,0,1,8,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n3,felipe,2025-09-22,2,t5,11,Dir,3,0,0,0,0,1,1,21,0,0,0,0
ffelipe_p3_t5_parc11_rDir_n3,felipe,2025-09-22,3,t5,11,Dir,3,0,0,0,0,0,3,20,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n1,felipe,2025-09-22,1,t5,11,Esq,1,0,0,0,0,0,0,20,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n1,felipe,2025-09-22,2,t5,11,Esq,1,0,0,3,3,0,0,0,0,0,0,0
ffelipe_p3_t5_parc11_rEsq_n1,felipe,2025-09-22,3,t5,11,Esq,1,2,3,0,0,0,0,0,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n2,felipe,2025-09-22,1,t5,11,Esq,2,0,0,0,0,0,0,20,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n2,felipe,2025-09-22,2,t5,11,Esq,2,0,2,0,0,0,0,17,0,0,0,0
ffelipe_p3_t5_parc11_rEsq_n2,felipe,2025-09-22,3,t5,11,Esq,2,0,0,3,0,0,0,16,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n3,felipe,2025-09-22,1,t5,11,Esq,3,0,0,0,0,0,0,24,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n3,felipe,2025-09-22,2,t5,11,Esq,3,0,2,0,0,0,0,20,0,0,0,0
