sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
ffelipe_p2_t4_parc10_rEsq_n3,felipe,2026-01-20,2,t4,10,Esq,3,0,0,0,15,0,0,0,1,0
ffelipe_p3_t4_parc10_rEsq_n3,felipe,2026-01-20,3,t4,10,Esq,3,0,0,0,19,0,0,0,0,0
ffelipe_p1_t5_parc11_rDir_n1,felipe,2026-01-20,1,t5,11,Dir,1,0,0,0,8,0,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n1,felipe,2026-01-20,2,t5,11,Dir,1,0,0,0,9,0,0,0,5,0
ffelipe_p3_t5_parc11_rDir_n1,felipe,2026-01-20,3,t5,11,Dir,1,0,0,0,4,0,0,0,3,0
ffelipe_p1_t5_parc11_rDir_n2,felipe,2026-01-20,1,t5,11,Dir,2,0,0,0,15,0,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n2,felipe,2026-01-20,2,t5,11,Dir,2,0,0,0,7,0,0,0,0,0
ffelipe_p3_t5_parc11_rDir_n2,felipe,2026-01-20,3,t5,11,Dir,2,0,0,0,1,0,0,0,2,0
ffelipe_p1_t5_parc11_rDir_n3,felipe,2026-01-20,1,t5,11,Dir,3,0,0,0,8,0,0,0,0,0
ffelipe_p2_t5_parc11_rDir_n3,felipe,2026-01-20,2,t5,11,Dir,3,0,0,0,15,0,0,0,0,0
ffelipe_p3_t5_parc11_rDir_n3,felipe,2026-01-20,3,t5,11,Dir,3,0,0,0,5,0,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n1,felipe,2026-01-20,1,t5,11,Esq,1,0,0,0,5,0,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n1,felipe,2026-01-20,2,t5,11,Esq,1,0,0,0,16,0,0,0,0,0
ffelipe_p3_t5_parc11_rEsq_n1,felipe,2026-01-20,3,t5,11,Esq,1,0,0,10,5,0,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n2,felipe,2026-01-20,1,t5,11,Esq,2,0,0,0,7,0,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n2,felipe,2026-01-20,2,t5,11,Esq,2,0,0,0,5,0,0,0,0,0
ffelipe_p3_t5_parc11_rEsq_n2,felipe,2026-01-20,3,t5,11,Esq,2,0,0,0,15,0,0,0,0,0
ffelipe_p1_t5_parc11_rEsq_n3,felipe,2026-01-20,1,t5,11,Esq,3,0,0,0,6,0,0,0,0,0
ffelipe_p2_t5_parc11_rEsq_n3,felipe,2026-01-20,2,t5,11,Esq,3,0,0,0,6,0,0,0,0,0
ffelipe_p3_t5_parc11_rEsq_n3,felipe,2026-01-20,3,t5,11,Esq,3,0,0,0,7,0,0,0,0,0
ffelipe_p1_t6_parc12_rDir_n1,felipe,2026-01-20,1,t6,12,Dir,1,0,0,0,1,0,0,0,0,0
ffelipe_p2_t6_parc12_rDir_n1,felipe,2026-01-20,2,t6,12,Dir,1,0,0,0,11,0,0,0,0,0
ffelipe_p3_t6_parc12_rDir_n1,felipe,2026-01-20,3,t6,12,Dir,1,0,0,0,13,0,0,0,1,0
